Species,Depth,Bound,Cover10
Pachyseris levicollis,22,Shallow,Yes
Pachyseris levicollis,45,Deep,Yes
Porites,26,Shallow,No
Porites,45,Deep,No
Leptoseris spp.,40,Shallow,No
Leptoseris spp.,57,Deep,No
Agariciella sp.,52,Shallow,Yes
Agariciella sp.,60,Deep,Yes
coscinaraeid n.gen.n.sp,51,Shallow,No
coscinaraeid n.gen.n.sp,60,Deep,No
"Coscinaraea ostreaeformis, wellsi & monile",36,Shallow,No
"Coscinaraea ostreaeformis, wellsi & monile",58,Deep,No
Psammocora explanatula & cf. explanatula,36,Shallow,No
Psammocora explanatula & cf. explanatula,56,Deep,No
Dendrophyllia micrantha,23,Shallow,No
Dendrophyllia micrantha,40,Deep,No
Madracis sp.,49,Shallow,No
Madracis sp.,60,Deep,No
